File,WaveData20200720_025.csv,
Date/Time,20-07-20/11:04,

Trace,A
Center Wavelength,1546.5,nm
Span Wavelength,5,nm
Start Wavelength,1544,nm
Stop Wavelength,1549,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1544,nm
Stop,1549,nm
Trace,B
Center Wavelength,1546.5,nm
Span Wavelength,5,nm
Start Wavelength,1544,nm
Stop Wavelength,1549,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.096,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,15,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1544,nm
Stop,1549,nm
Trace,C
Center Wavelength,1537.97,nm
Span Wavelength,2,nm
Start Wavelength,1536.97,nm
Stop Wavelength,1538.97,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.031,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Wavelength(A),Level(A),Wavelength(B),Level(B)
1544.285000,1.1290E-005,1544.285000,1.1290E-005
1544.287500,1.1300E-005,1544.287500,1.1300E-005
1544.290000,1.1320E-005,1544.290000,1.1320E-005
1544.292500,1.1340E-005,1544.292500,1.1340E-005
1544.295000,1.1310E-005,1544.295000,1.1310E-005
1544.297500,1.1360E-005,1544.297500,1.1360E-005
1544.300000,1.1330E-005,1544.300000,1.1330E-005
1544.302500,1.1310E-005,1544.302500,1.1310E-005
1544.305000,1.1280E-005,1544.305000,1.1280E-005
1544.307500,1.1250E-005,1544.307500,1.1250E-005
1544.310000,1.1250E-005,1544.310000,1.1250E-005
1544.312500,1.1230E-005,1544.312500,1.1230E-005
1544.315000,1.1200E-005,1544.315000,1.1200E-005
1544.317500,1.1250E-005,1544.317500,1.1250E-005
1544.320000,1.1260E-005,1544.320000,1.1260E-005
1544.322500,1.1320E-005,1544.322500,1.1320E-005
1544.325000,1.1340E-005,1544.325000,1.1340E-005
1544.327500,1.1400E-005,1544.327500,1.1400E-005
1544.330000,1.1340E-005,1544.330000,1.1340E-005
1544.332500,1.1340E-005,1544.332500,1.1340E-005
1544.335000,1.1320E-005,1544.335000,1.1320E-005
1544.337500,1.1340E-005,1544.337500,1.1340E-005
1544.340000,1.1350E-005,1544.340000,1.1350E-005
1544.342500,1.1330E-005,1544.342500,1.1330E-005
1544.345000,1.1330E-005,1544.345000,1.1330E-005
1544.347500,1.1320E-005,1544.347500,1.1320E-005
1544.350000,1.1410E-005,1544.350000,1.1410E-005
1544.352500,1.1380E-005,1544.352500,1.1380E-005
1544.355000,1.1380E-005,1544.355000,1.1380E-005
1544.357500,1.1390E-005,1544.357500,1.1390E-005
1544.360000,1.1390E-005,1544.360000,1.1390E-005
1544.362500,1.1460E-005,1544.362500,1.1460E-005
1544.365000,1.1550E-005,1544.365000,1.1550E-005
